theme,url,img,lines,author
RESILIENCY,/inspirational-quotes/6595-rock-bottom-became-the-solid-foundation-on,https://assets.passiton.com/quotes/quote_artwork/6595/medium/20210715_thursday_quote.jpg?1625591341,Rock bottom became the solid foundation on which I rebuilt my life.,<Author:0x00007f274b3b22d8>
RESILIENCY,/inspirational-quotes/7409-sometimes-carrying-on-just-carrying-on-is,https://assets.passiton.com/quotes/quote_artwork/7409/medium/20210714_wednesday_quote.jpg?1625591319,"Sometimes, carrying on, just carrying on, is the superhuman achievement.",<Author:0x00007f274b405078>
RESILIENCY,/inspirational-quotes/4292-we-will-either-find-a-way-or-make-one,https://assets.passiton.com/quotes/quote_artwork/4292/medium/20210713_tuesday_quote.jpg?1625591293,"We will either find a way, or make one.",<Author:0x00007f274b45ef88>
RESILIENCY,/inspirational-quotes/8241-persistence-and-resilience-only-come-from,https://assets.passiton.com/quotes/quote_artwork/8241/medium/20210712_monday_quote.jpg?1625591224,Persistence and resilience only come from having been given the chance to work though difficult problems.,<Author:0x00007f274b4a9948>
HARD WORK,/inspirational-quotes/6243-striving-for-success-without-hard-work-is-like,https://assets.passiton.com/quotes/quote_artwork/6243/medium/20210709_friday_quote.jpg?1625499004,Striving for success without hard work is like trying to harvest where you haven't planted.,<Author:0x00007f274b4ec9a0>
HARD WORK,/inspirational-quotes/8240-work-hard-and-be-kind-and-amazing-things-will,https://assets.passiton.com/quotes/quote_artwork/8240/medium/20210708_thursday_quote.jpg?1625498944,Work hard and be kind and amazing things will happen.,<Author:0x00007f274b547d50>
HARD WORK,/inspirational-quotes/8239-if-you-go-to-work-on-your-goals-your-goals,https://assets.passiton.com/quotes/quote_artwork/8239/medium/20210707_wednesday_quote.jpg?1625498926,"If you go to work on your goals, your goals will go to work on you. If you go to work on your plan, your plan will go to work on you. Whatever good things we build end up building us.",<Author:0x00007f274b5a8308>
HARD WORK,/inspirational-quotes/8238-the-fruit-of-your-own-hard-work-is-the-sweetest,https://assets.passiton.com/quotes/quote_artwork/8238/medium/20210706_tuesday_quote.jpg?1625498905,The fruit of your own hard work is the sweetest.,<Author:0x00007f274b5fddd0>
HARD WORK,/inspirational-quotes/8237-if-your-dream-is-a-big-dream-and-if-you-want,https://assets.passiton.com/quotes/quote_artwork/8237/medium/20210705_monday_quote.jpg?1625463242,"If your dream is a big dream, and if you want your life to work on the high level you say you do, there’s no way around doing the work it takes to get you there.",<Author:0x00007f274b655710>
UNITY,/inspirational-quotes/4409-for-the-strength-of-the-pack-is-the-wolf-and,https://assets.passiton.com/quotes/quote_artwork/4409/medium/20210702_friday_quote.jpg?1623711223,"For the strength of the Pack is the Wolf, and the strength of the Wolf is the Pack. ",<Author:0x00007f274b6a8618>
UNITY,/inspirational-quotes/7942-no-doubt-unity-is-something-to-be-desired-to,https://assets.passiton.com/quotes/quote_artwork/7942/medium/20210701_thursday_quote.jpg?1623711193,"No doubt, unity is something to be desired, to be striven for, but it cannot be willed by mere declarations.",<Author:0x000055fcc76fe158>
UNITY,/inspirational-quotes/7943-we-are-each-other-s-harvest-we-are-each,https://assets.passiton.com/quotes/quote_artwork/7943/medium/20210630_wednesday_quote.jpg?1623711164,We are each other’s harvest; we are each other’s business; we are each other’s magnitude and bond.,<Author:0x000055fcc89c69c0>
UNITY,/inspirational-quotes/7700-it-is-not-in-numbers-but-in-unity-that-our,https://assets.passiton.com/quotes/quote_artwork/7700/medium/20210629_tuesday_quote.jpg?1623711138,"It is not in numbers, but in unity, that our great strength lies.",<Author:0x000055fcc8c006a0>
UNITY,/inspirational-quotes/4373-so-powerful-is-the-light-of-unity-that-it-can,https://assets.passiton.com/quotes/quote_artwork/4373/medium/20210628_monday_quote.jpg?1623711099,So powerful is the light of unity that it can illuminate the whole earth.,<Author:0x000055fcc8f44ca8>
FITNESS,/inspirational-quotes/7280-if-it-doesn-t-challenge-you-it-doesn-t-change,https://assets.passiton.com/quotes/quote_artwork/7280/medium/20210625_friday_quote.jpg?1623697918,"If it doesn’t challenge you, it doesn’t change you.",<Author:0x000055fcca724788>
FITNESS,/inspirational-quotes/8234-fitness-is-not-about-being-better-than-someone,https://assets.passiton.com/quotes/quote_artwork/8234/medium/20210624_thursday_quote.jpg?1623697895,Fitness is not about being better than someone else. It’s about being better than you used to be. ,<Author:0x000055fcca7dbed8>
FITNESS,/inspirational-quotes/8236-energy-amp-persistence-conquer-all-things,https://assets.passiton.com/quotes/quote_artwork/8236/medium/20210623_wednesday_quote.jpg?1623697854,Energy & persistence conquer all things.,<Author:0x000055fcca8af0d0>
FITNESS,/inspirational-quotes/8232-the-purpose-of-training-is-to-tighten-up-the,https://assets.passiton.com/quotes/quote_artwork/8232/medium/20210622_tuesday_quote.jpg?1623697810,"The purpose of training is to tighten up the slack, toughen the body, and polish the spirit.",<Author:0x000055fccaab8f20>
FITNESS,/inspirational-quotes/8126-physical-fitness-is-not-only-one-of-the-most,https://assets.passiton.com/quotes/quote_artwork/8126/medium/20210621_monday_quote.jpg?1623697783,"Physical fitness is not only one of the most important keys to a healthy body, it is the basic of dynamic and creative intellectual activity.",<Author:0x000055fccad37350>
MENTORING,/inspirational-quotes/8231-the-delicate-balance-of-mentoring-someone-is,https://assets.passiton.com/quotes/quote_artwork/8231/medium/20210618_friday_quote.jpg?1623272441,"The delicate balance of mentoring someone is not creating them in your own image, but giving them the opportunity to create themselves.",<Author:0x000055fccaf036e8>
MENTORING,/inspirational-quotes/8230-a-good-coach-can-change-a-game-a-great-coach,https://assets.passiton.com/quotes/quote_artwork/8230/medium/20210617_thursday_quote.jpg?1623272410,A good coach can change a game. A great coach can change a life.,<Author:0x000055fccb0452e0>
MENTORING,/inspirational-quotes/8229-mentoring-is-a-brain-to-pick-an-ear-to-listen,https://assets.passiton.com/quotes/quote_artwork/8229/medium/20210616_wednesday_quote.jpg?1623272379,"Mentoring is a brain to pick, an ear to listen, and a push in the right direction.",<Author:0x000055fccb11dc58>
MENTORING,/inspirational-quotes/8228-my-mentor-said-let-s-go-do-it-not-you-go,https://assets.passiton.com/quotes/quote_artwork/8228/medium/20210615_tuesday_quote.jpg?1623272351,"My mentor said, ‘Let’s go do it,’ not ‘You go do it.’ How powerful when someone says, ‘Let’s!’.",<Author:0x000055fccb251750>
MENTORING,/inspirational-quotes/8227-a-mentor-is-someone-who-sees-more-talent-and,https://assets.passiton.com/quotes/quote_artwork/8227/medium/20210614_monday_quote.jpg?1623272323,"A mentor is someone who sees more talent and ability within you, than you see in yourself, and helps bring it out of you.",<Author:0x000055fccb2f3a78>
GET OUTSIDE,/inspirational-quotes/8226-an-early-morning-walk-is-a-blessing-for-the,https://assets.passiton.com/quotes/quote_artwork/8226/medium/20210611_friday_quote.jpg?1622833944,An early morning walk is a blessing for the whole day.,<Author:0x000055fccb365588>
GET OUTSIDE,/inspirational-quotes/8225-the-antidote-to-exhaustion-isn-t-rest-it-s,https://assets.passiton.com/quotes/quote_artwork/8225/medium/20210610_thursday_quote.jpg?1622833853,The antidote to exhaustion isn’t rest. It’s nature.,<Author:0x000055fccb3f3798>
GET OUTSIDE,/inspirational-quotes/7870-i-go-to-nature-to-be-soothed-and-healed-and-to,https://assets.passiton.com/quotes/quote_artwork/7870/medium/20210609_wednesday_quote.jpg?1622833828,"I go to nature to be soothed and healed, and to have my senses put in order.",<Author:0x000055fccb43d000>
GET OUTSIDE,/inspirational-quotes/8023-the-joy-of-life-comes-from-our-encounters-with,https://assets.passiton.com/quotes/quote_artwork/8023/medium/20210608_tuesday_quote.jpg?1622833774,"The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun.",<Author:0x000055fccb452ce8>
GET OUTSIDE,/inspirational-quotes/8224-of-all-the-paths-you-take-in-life-make-sure-a,https://assets.passiton.com/quotes/quote_artwork/8224/medium/20210607_monday_quote.jpg?1622833667,"Of all the paths you take in life, make sure a few of them are dirt.",<Author:0x000055fccb4d0710>
LIVE YOUR DREAMS,/inspirational-quotes/8223-no-matter-where-you-re-from-your-dreams-are,https://assets.passiton.com/quotes/quote_artwork/8223/medium/20210604_friday_quote.jpg?1622420775,"No matter where you’re from, your dreams are valid.",<Author:0x000055fccb4f2b80>
LIVE YOUR DREAMS,/inspirational-quotes/8222-follow-your-dreams-they-know-the-way,https://assets.passiton.com/quotes/quote_artwork/8222/medium/20210603_thursday_quote.jpg?1622420752,"Follow your dreams, they know the way.",<Author:0x000055fccb508a20>
LIVE YOUR DREAMS,/inspirational-quotes/7118-don-t-ask-what-the-world-needs-ask-what-makes,https://assets.passiton.com/quotes/quote_artwork/7118/medium/20210602_wednesday_quote.jpg?1622420730,"Don’t ask what the world needs. Ask what makes you come alive, and go do it. Because what the world needs is people who have come alive.",<Author:0x000055fccb52ba20>
